file,sheet,column,value,count
SentencingDataPost2013.xlsx,SentencingDataPost2013,SentenceTypeID,,2
SentencingDataPost2013.xlsx,SentencingDataPost2013,SentenceUOMID,3.0,75365
SentencingDataPost2013.xlsx,SentencingDataPost2013,SentenceUOMID,2.0,8842
SentencingDataPost2013.xlsx,SentencingDataPost2013,SentenceUOMID,,2
SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceTypeID,1.0,46197
SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceTypeID,2.0,11821
SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceTypeID,3.0,5102
SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceTypeID,,2
SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceUOMID,3.0,58018
SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceUOMID,2.0,5102
SentencingDataPre2013.xlsx,SentencingDataPre2013,SentenceUOMID,,2
CaseData_v2.csv,,DispositionID,171.0,66206
CaseData_v2.csv,,DispositionID,147.0,44894
CaseData_v2.csv,,DispositionID,,32173
CaseData_v2.csv,,DispositionID,95.0,16793
CaseData_v2.csv,,DispositionID,73.0,14135
CaseData_v2.csv,,DispositionID,143.0,10963
CaseData_v2.csv,,DispositionID,84.0,10177
CaseData_v2.csv,,DispositionID,152.0,8299
CaseData_v2.csv,,DispositionID,87.0,7891
CaseData_v2.csv,,DispositionID,101.0,7743
CaseData_v2.csv,,DispositionID,37.0,6936
CaseData_v2.csv,,DispositionID,141.0,6603
CaseData_v2.csv,,DispositionID,20.0,6029
CaseData_v2.csv,,DispositionID,83.0,4877
CaseData_v2.csv,,DispositionID,26.0,4695
CaseData_v2.csv,,DispositionID,72.0,3682
CaseData_v2.csv,,DispositionID,1.0,3291
CaseData_v2.csv,,DispositionID,32.0,2270
CaseData_v2.csv,,DispositionID,98.0,1790
CaseData_v2.csv,,DispositionID,65.0,1770
CaseData_v2.csv,,DispositionID,189.0,1486
CaseData_v2.csv,,DispositionID,31.0,1259
CaseData_v2.csv,,DispositionID,150.0,1098
CaseData_v2.csv,,DispositionID,85.0,921
CaseData_v2.csv,,DispositionID,27.0,819
CaseData_v2.csv,,DispositionID,24.0,783
CaseData_v2.csv,,DispositionID,159.0,685
CaseData_v2.csv,,DispositionID,149.0,659
CaseData_v2.csv,,DispositionID,156.0,434
CaseData_v2.csv,,DispositionID,25.0,324
CaseData_v2.csv,,DispositionTypeID,1.0,115686
CaseData_v2.csv,,DispositionTypeID,4.0,65382
CaseData_v2.csv,,DispositionTypeID,7.0,32090
CaseData_v2.csv,,DispositionTypeID,,30326
CaseData_v2.csv,,DispositionTypeID,2.0,17030
CaseData_v2.csv,,DispositionTypeID,8.0,10867
CaseData_v2.csv,,DispositionTypeID,3.0,318
CaseData_v2.csv,,DispositionMethodID,2.0,168608
CaseData_v2.csv,,DispositionMethodID,1.0,36596
CaseData_v2.csv,,DispositionMethodID,5.0,34724
CaseData_v2.csv,,DispositionMethodID,,30326
CaseData_v2.csv,,DispositionMethodID,3.0,1445
CaseData_v2.csv,,DispositionEventID,4842.0,66988
CaseData_v2.csv,,DispositionEventID,4834.0,44957
CaseData_v2.csv,,DispositionEventID,,30326
CaseData_v2.csv,,DispositionEventID,4824.0,16806
CaseData_v2.csv,,DispositionEventID,941.0,15105
CaseData_v2.csv,,DispositionEventID,4830.0,10972
CaseData_v2.csv,,DispositionEventID,943.0,10910
CaseData_v2.csv,,DispositionEventID,907.0,8685
CaseData_v2.csv,,DispositionEventID,4806.0,8318
CaseData_v2.csv,,DispositionEventID,4837.0,8312
CaseData_v2.csv,,DispositionEventID,917.0,6950
CaseData_v2.csv,,DispositionEventID,4815.0,6620
CaseData_v2.csv,,DispositionEventID,942.0,6424
CaseData_v2.csv,,DispositionEventID,931.0,5523
CaseData_v2.csv,,DispositionEventID,912.0,4702
CaseData_v2.csv,,DispositionEventID,897.0,3293
CaseData_v2.csv,,DispositionEventID,918.0,2269
CaseData_v2.csv,,DispositionEventID,4807.0,1819
CaseData_v2.csv,,DispositionEventID,924.0,1772
CaseData_v2.csv,,DispositionEventID,4832.0,1596
CaseData_v2.csv,,DispositionEventID,916.0,1264
CaseData_v2.csv,,DispositionEventID,4882.0,1096
CaseData_v2.csv,,DispositionEventID,957.0,824
CaseData_v2.csv,,DispositionEventID,910.0,785
CaseData_v2.csv,,DispositionEventID,920.0,726
CaseData_v2.csv,,DispositionEventID,4839.0,691
CaseData_v2.csv,,DispositionEventID,4883.0,661
CaseData_v2.csv,,DispositionEventID,4835.0,438
CaseData_v2.csv,,DispositionEventID,911.0,321
CaseData_v2.csv,,DispositionEventID,4876.0,310
CaseData_v2.csv,,OriginalDispositionID,171.0,66982
CaseData_v2.csv,,OriginalDispositionID,147.0,44933
CaseData_v2.csv,,OriginalDispositionID,,31856
CaseData_v2.csv,,OriginalDispositionID,95.0,16856
CaseData_v2.csv,,OriginalDispositionID,87.0,14450
CaseData_v2.csv,,OriginalDispositionID,143.0,10985
CaseData_v2.csv,,OriginalDispositionID,101.0,8314
CaseData_v2.csv,,OriginalDispositionID,152.0,8305
CaseData_v2.csv,,OriginalDispositionID,84.0,8119
CaseData_v2.csv,,OriginalDispositionID,20.0,7152
CaseData_v2.csv,,OriginalDispositionID,37.0,6951
CaseData_v2.csv,,OriginalDispositionID,141.0,6614
CaseData_v2.csv,,OriginalDispositionID,83.0,6052
CaseData_v2.csv,,OriginalDispositionID,16.0,6004
CaseData_v2.csv,,OriginalDispositionID,72.0,4962
CaseData_v2.csv,,OriginalDispositionID,26.0,4692
CaseData_v2.csv,,OriginalDispositionID,1.0,3299
CaseData_v2.csv,,OriginalDispositionID,32.0,2274
CaseData_v2.csv,,OriginalDispositionID,98.0,1817
CaseData_v2.csv,,OriginalDispositionID,65.0,1778
CaseData_v2.csv,,OriginalDispositionID,31.0,1263
CaseData_v2.csv,,OriginalDispositionID,150.0,1085
CaseData_v2.csv,,OriginalDispositionID,85.0,982
CaseData_v2.csv,,OriginalDispositionID,27.0,810
CaseData_v2.csv,,OriginalDispositionID,24.0,772
CaseData_v2.csv,,OriginalDispositionID,159.0,736
CaseData_v2.csv,,OriginalDispositionID,149.0,658
CaseData_v2.csv,,OriginalDispositionID,156.0,435
CaseData_v2.csv,,OriginalDispositionID,25.0,324
CaseData_v2.csv,,OriginalDispositionID,160.0,310
CaseData_v2.csv,,OriginalDispositionEvent,9038.0,66983
CaseData_v2.csv,,OriginalDispositionEvent,9030.0,44943
CaseData_v2.csv,,OriginalDispositionEvent,,31856
CaseData_v2.csv,,OriginalDispositionEvent,9020.0,16856
CaseData_v2.csv,,OriginalDispositionEvent,8044.0,14450
CaseData_v2.csv,,OriginalDispositionEvent,9026.0,10985
CaseData_v2.csv,,OriginalDispositionEvent,9002.0,8314
CaseData_v2.csv,,OriginalDispositionEvent,9033.0,8305
CaseData_v2.csv,,OriginalDispositionEvent,8046.0,8119
CaseData_v2.csv,,OriginalDispositionEvent,8010.0,7152
CaseData_v2.csv,,OriginalDispositionEvent,8020.0,6951
CaseData_v2.csv,,OriginalDispositionEvent,9011.0,6614
CaseData_v2.csv,,OriginalDispositionEvent,8045.0,6052
CaseData_v2.csv,,OriginalDispositionEvent,8053.0,6004
CaseData_v2.csv,,OriginalDispositionEvent,8034.0,4962
CaseData_v2.csv,,OriginalDispositionEvent,8015.0,4692
CaseData_v2.csv,,OriginalDispositionEvent,8000.0,3299
CaseData_v2.csv,,OriginalDispositionEvent,8021.0,2274
CaseData_v2.csv,,OriginalDispositionEvent,9003.0,1817
CaseData_v2.csv,,OriginalDispositionEvent,8027.0,1778
CaseData_v2.csv,,OriginalDispositionEvent,8019.0,1263
CaseData_v2.csv,,OriginalDispositionEvent,9078.0,1085
CaseData_v2.csv,,OriginalDispositionEvent,8023.0,982
