code_column,OriginalDispositionID,n_cases,has_sentence_rate,has_plea_rate,has_verdict_rate,has_disposition_date_rate,unique_cases,unique_bookings,LatestDispositionID,DispositionID,DispositionTypeID,DispositionMethodID
LatestDispositionID,,89,1.0,0.02247191011235955,0.0,1.0,46,43,150.0,,,
LatestDispositionID,,50,0.06,0.0,0.0,1.0,30,27,26.0,,,
LatestDispositionID,,48,0.9166666666666666,0.0625,0.0625,1.0,43,40,84.0,,,
LatestDispositionID,,45,0.0,0.0,0.0,1.0,23,23,27.0,,,
LatestDispositionID,,42,1.0,0.0,0.0,1.0,21,21,159.0,,,
LatestDispositionID,,34,1.0,0.2647058823529412,0.0,1.0,31,31,152.0,,,
LatestDispositionID,,32,1.0,0.0,0.0,1.0,17,16,149.0,,,
LatestDispositionID,,25,0.96,0.16,0.16,1.0,25,25,87.0,,,
LatestDispositionID,,22,1.0,0.9545454545454546,0.18181818181818182,1.0,22,21,101.0,,,
LatestDispositionID,,21,1.0,0.42857142857142855,0.09523809523809523,1.0,20,18,143.0,,,
LatestDispositionID,,20,0.45,0.0,0.0,1.0,16,15,31.0,,,
LatestDispositionID,,18,0.2222222222222222,0.05555555555555555,0.05555555555555555,1.0,11,10,1.0,,,
LatestDispositionID,,17,0.8823529411764706,0.0,0.0,1.0,17,16,7.0,,,
LatestDispositionID,,16,1.0,0.3125,0.0,1.0,16,15,95.0,,,
LatestDispositionID,,15,0.8,0.2,0.2,1.0,15,13,83.0,,,
LatestDispositionID,,13,0.0,0.0,0.0,1.0,7,6,32.0,,,
LatestDispositionID,,10,1.0,0.4,0.0,1.0,10,9,20.0,,,
LatestDispositionID,,8,1.0,0.125,0.0,1.0,8,8,148.0,,,
LatestDispositionID,,8,1.0,1.0,0.0,1.0,8,7,98.0,,,
LatestDispositionID,,7,1.0,0.0,0.0,1.0,7,7,79.0,,,
LatestDispositionID,,7,1.0,1.0,0.0,1.0,6,6,194.0,,,
LatestDispositionID,,6,0.0,0.0,0.0,1.0,3,3,65.0,,,
LatestDispositionID,,6,1.0,1.0,0.0,1.0,6,6,136.0,,,
LatestDispositionID,,5,1.0,0.8,0.6,1.0,5,4,181.0,,,
LatestDispositionID,,5,0.0,0.0,0.0,1.0,5,5,85.0,,,
LatestDispositionID,,5,1.0,0.0,0.0,1.0,4,4,154.0,,,
LatestDispositionID,,4,1.0,0.5,0.0,1.0,4,4,156.0,,,
LatestDispositionID,,4,0.25,0.0,0.0,1.0,3,3,25.0,,,
LatestDispositionID,,3,1.0,0.3333333333333333,0.0,1.0,3,3,151.0,,,
LatestDispositionID,,3,1.0,0.6666666666666666,0.0,1.0,3,3,141.0,,,
LatestDispositionID,,3,0.0,0.0,0.0,1.0,3,3,67.0,,,
LatestDispositionID,,3,0.6666666666666666,0.0,0.0,1.0,3,3,16.0,,,
LatestDispositionID,,2,1.0,0.0,0.0,1.0,1,1,2.0,,,
LatestDispositionID,,2,0.0,0.0,0.0,1.0,2,1,11.0,,,
LatestDispositionID,,2,1.0,0.0,0.0,1.0,2,2,51.0,,,
LatestDispositionID,,2,1.0,0.0,0.0,1.0,2,2,78.0,,,
LatestDispositionID,,1,0.0,0.0,0.0,1.0,1,1,29.0,,,
LatestDispositionID,,1,1.0,1.0,0.0,1.0,1,1,142.0,,,
LatestDispositionID,,1,1.0,0.0,0.0,1.0,1,1,158.0,,,
LatestDispositionID,,1,1.0,0.0,0.0,1.0,1,1,160.0,,,
LatestDispositionID,,1,1.0,1.0,0.0,1.0,1,1,168.0,,,
LatestDispositionID,,1,1.0,1.0,0.0,1.0,1,1,193.0,,,
DispositionID,,66206,0.9999546868863849,0.9996223907198744,0.00222034256713893,1.0,66031,59553,,171.0,,
DispositionID,,44894,0.9978393549249343,0.0003341203724328418,0.0,1.0,44791,39215,,147.0,,
DispositionID,,32173,0.009138097162216766,0.004227146986603674,0.0030460323874055887,0.06723028626488049,30369,23613,,,,
DispositionID,,16793,0.9994640624069553,0.0006550348359435479,0.0,1.0,16733,14317,,95.0,,
DispositionID,,14135,0.7765122037495579,0.6780332507958967,0.6413866289352671,1.0,12464,11823,,73.0,,
DispositionID,,10963,0.999726352275837,9.121590805436468e-05,0.0,1.0,10939,9921,,143.0,,
DispositionID,,10177,0.7384297926697455,0.7401984867839245,0.739215878942714,1.0,6972,5697,,84.0,,
DispositionID,,8299,0.9990360284371611,0.0007229786721291722,0.0,1.0,8282,7936,,152.0,,
DispositionID,,7891,0.9759219363832214,0.9744012165758459,0.9738943099733874,1.0,7681,7342,,87.0,,
DispositionID,,7743,0.9997417021826166,0.9988376598217745,0.011494252873563218,1.0,7723,7428,,101.0,,
DispositionID,,6936,0.0,0.0,0.0,1.0,6205,5241,,37.0,,
