complete_key,complete_unique,raw_unique,shared_unique,complete_overlap_pct,raw_overlap_pct,raw_file,raw_sheet,raw_key
defendant_booking_id,85420,1,0,0.0,0.0,CaseData_v2.csv,,LatestDispositionMethodID
person_mni,66177,1,0,0.0,0.0,CaseData_v2.csv,,LatestDispositionMethodID
PK_BKG_NO,85416,1,0,0.0,0.0,CaseData_v2.csv,,LatestDispositionMethodID
pretrial_id,85459,60,0,0.0,0.0,CaseData_v2.csv,,LatestDispositionID
defendant_booking_id,85420,60,0,0.0,0.0,CaseData_v2.csv,,LatestDispositionID
person_mni,66177,60,0,0.0,0.0,CaseData_v2.csv,,LatestDispositionID
PK_BKG_NO,85416,60,0,0.0,0.0,CaseData_v2.csv,,LatestDispositionID
pretrial_id,85459,14,0,0.0,0.0,CaseData_v2.csv,,LatestSentenceID
defendant_booking_id,85420,14,0,0.0,0.0,CaseData_v2.csv,,LatestSentenceID
person_mni,66177,14,0,0.0,0.0,CaseData_v2.csv,,LatestSentenceID
PK_BKG_NO,85416,14,0,0.0,0.0,CaseData_v2.csv,,LatestSentenceID
pretrial_id,85459,1084,0,0.0,0.0,CaseData_v2.csv,,EarliestKnownChargeID
defendant_booking_id,85420,1084,0,0.0,0.0,CaseData_v2.csv,,EarliestKnownChargeID
person_mni,66177,1084,23,0.03,2.12,CaseData_v2.csv,,EarliestKnownChargeID
PK_BKG_NO,85416,1084,0,0.0,0.0,CaseData_v2.csv,,EarliestKnownChargeID
pretrial_id,85459,260088,0,0.0,0.0,CaseData_v2.csv,,CriminalDefendantHistoryID
defendant_booking_id,85420,260088,13541,15.85,5.21,CaseData_v2.csv,,CriminalDefendantHistoryID
person_mni,66177,260088,5795,8.76,2.23,CaseData_v2.csv,,CriminalDefendantHistoryID
PK_BKG_NO,85416,260088,13541,15.85,5.21,CaseData_v2.csv,,CriminalDefendantHistoryID
pretrial_id,85459,17,0,0.0,0.0,CaseData_v2.csv,,ActivationEventID
defendant_booking_id,85420,17,0,0.0,0.0,CaseData_v2.csv,,ActivationEventID
person_mni,66177,17,0,0.0,0.0,CaseData_v2.csv,,ActivationEventID
PK_BKG_NO,85416,17,0,0.0,0.0,CaseData_v2.csv,,ActivationEventID
pretrial_id,85459,3,0,0.0,0.0,CaseData_v2.csv,,ActivationTypeID
defendant_booking_id,85420,3,0,0.0,0.0,CaseData_v2.csv,,ActivationTypeID
person_mni,66177,3,0,0.0,0.0,CaseData_v2.csv,,ActivationTypeID
PK_BKG_NO,85416,3,0,0.0,0.0,CaseData_v2.csv,,ActivationTypeID
pretrial_id,85459,173531,0,0.0,0.0,CaseData_v2.csv,,AssociatedBookingNumber
defendant_booking_id,85420,173531,72019,84.31,41.5,CaseData_v2.csv,,AssociatedBookingNumber
person_mni,66177,173531,3192,4.82,1.84,CaseData_v2.csv,,AssociatedBookingNumber
PK_BKG_NO,85416,173531,72017,84.31,41.5,CaseData_v2.csv,,AssociatedBookingNumber
pretrial_id,85459,2418,0,0.0,0.0,CaseData_v2.csv,,AssociatedBookingDate
defendant_booking_id,85420,2418,0,0.0,0.0,CaseData_v2.csv,,AssociatedBookingDate
person_mni,66177,2418,0,0.0,0.0,CaseData_v2.csv,,AssociatedBookingDate
PK_BKG_NO,85416,2418,0,0.0,0.0,CaseData_v2.csv,,AssociatedBookingDate
pretrial_id,85459,1283,0,0.0,0.0,CaseData_v2.csv,,AgeofCase
defendant_booking_id,85420,1283,0,0.0,0.0,CaseData_v2.csv,,AgeofCase
person_mni,66177,1283,22,0.03,1.71,CaseData_v2.csv,,AgeofCase
PK_BKG_NO,85416,1283,0,0.0,0.0,CaseData_v2.csv,,AgeofCase
pretrial_id,85459,79,0,0.0,0.0,CaseData_v2.csv,,DispositionID
defendant_booking_id,85420,79,0,0.0,0.0,CaseData_v2.csv,,DispositionID
person_mni,66177,79,0,0.0,0.0,CaseData_v2.csv,,DispositionID
PK_BKG_NO,85416,79,0,0.0,0.0,CaseData_v2.csv,,DispositionID
pretrial_id,85459,67,0,0.0,0.0,CaseData_v2.csv,,DispositionEventID
defendant_booking_id,85420,67,0,0.0,0.0,CaseData_v2.csv,,DispositionEventID
person_mni,66177,67,1,0.0,1.49,CaseData_v2.csv,,DispositionEventID
PK_BKG_NO,85416,67,0,0.0,0.0,CaseData_v2.csv,,DispositionEventID
pretrial_id,85459,6,0,0.0,0.0,CaseData_v2.csv,,DispositionTypeID
defendant_booking_id,85420,6,0,0.0,0.0,CaseData_v2.csv,,DispositionTypeID
person_mni,66177,6,0,0.0,0.0,CaseData_v2.csv,,DispositionTypeID
PK_BKG_NO,85416,6,0,0.0,0.0,CaseData_v2.csv,,DispositionTypeID
pretrial_id,85459,1,0,0.0,0.0,CaseData_v2.csv,,casephaseID
defendant_booking_id,85420,1,0,0.0,0.0,CaseData_v2.csv,,casephaseID
person_mni,66177,1,0,0.0,0.0,CaseData_v2.csv,,casephaseID
PK_BKG_NO,85416,1,0,0.0,0.0,CaseData_v2.csv,,casephaseID
pretrial_id,85459,1,0,0.0,0.0,CaseData_v2.csv,,CasePhaseCode
defendant_booking_id,85420,1,0,0.0,0.0,CaseData_v2.csv,,CasePhaseCode
person_mni,66177,1,0,0.0,0.0,CaseData_v2.csv,,CasePhaseCode
PK_BKG_NO,85416,1,0,0.0,0.0,CaseData_v2.csv,,CasePhaseCode
pretrial_id,85459,4,0,0.0,0.0,CaseData_v2.csv,,DispositionMethodID
defendant_booking_id,85420,4,0,0.0,0.0,CaseData_v2.csv,,DispositionMethodID
person_mni,66177,4,0,0.0,0.0,CaseData_v2.csv,,DispositionMethodID
PK_BKG_NO,85416,4,0,0.0,0.0,CaseData_v2.csv,,DispositionMethodID
pretrial_id,85459,260544,0,0.0,0.0,CaseData_v2.csv,,PartyAttorneyID
defendant_booking_id,85420,260544,1991,2.33,0.76,CaseData_v2.csv,,PartyAttorneyID
person_mni,66177,260544,3895,5.89,1.49,CaseData_v2.csv,,PartyAttorneyID
PK_BKG_NO,85416,260544,1991,2.33,0.76,CaseData_v2.csv,,PartyAttorneyID
pretrial_id,85459,259569,0,0.0,0.0,CaseData_v2.csv,,PartyIDRepresenting
defendant_booking_id,85420,259569,3413,4.0,1.31,CaseData_v2.csv,,PartyIDRepresenting
person_mni,66177,259569,912,1.38,0.35,CaseData_v2.csv,,PartyIDRepresenting
PK_BKG_NO,85416,259569,3413,4.0,1.31,CaseData_v2.csv,,PartyIDRepresenting
pretrial_id,85459,2472,0,0.0,0.0,CaseData_v2.csv,,attorneyID
defendant_booking_id,85420,2472,0,0.0,0.0,CaseData_v2.csv,,attorneyID
person_mni,66177,2472,44,0.07,1.78,CaseData_v2.csv,,attorneyID
PK_BKG_NO,85416,2472,0,0.0,0.0,CaseData_v2.csv,,attorneyID
pretrial_id,85459,20,0,0.0,0.0,CaseData_v2.csv,,AttorneyCounselTypeID
defendant_booking_id,85420,20,0,0.0,0.0,CaseData_v2.csv,,AttorneyCounselTypeID
person_mni,66177,20,0,0.0,0.0,CaseData_v2.csv,,AttorneyCounselTypeID
PK_BKG_NO,85416,20,0,0.0,0.0,CaseData_v2.csv,,AttorneyCounselTypeID
pretrial_id,85459,7,0,0.0,0.0,CaseData_v2.csv,,AttorneyCaseStatusID
defendant_booking_id,85420,7,0,0.0,0.0,CaseData_v2.csv,,AttorneyCaseStatusID
person_mni,66177,7,0,0.0,0.0,CaseData_v2.csv,,AttorneyCaseStatusID
PK_BKG_NO,85416,7,0,0.0,0.0,CaseData_v2.csv,,AttorneyCaseStatusID
pretrial_id,85459,16,0,0.0,0.0,CaseData_v2.csv,,AssignedCourtID
defendant_booking_id,85420,16,0,0.0,0.0,CaseData_v2.csv,,AssignedCourtID
person_mni,66177,16,0,0.0,0.0,CaseData_v2.csv,,AssignedCourtID
PK_BKG_NO,85416,16,0,0.0,0.0,CaseData_v2.csv,,AssignedCourtID
pretrial_id,85459,16,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionCourtID
defendant_booking_id,85420,16,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionCourtID
person_mni,66177,16,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionCourtID
PK_BKG_NO,85416,16,0,0.0,0.0,CaseData_v2.csv,,OriginalDispositionCourtID
pretrial_id,85459,15,0,0.0,0.0,CaseData_v2.csv,,LatestDispositonCourtID
defendant_booking_id,85420,15,0,0.0,0.0,CaseData_v2.csv,,LatestDispositonCourtID
person_mni,66177,15,0,0.0,0.0,CaseData_v2.csv,,LatestDispositonCourtID
PK_BKG_NO,85416,15,0,0.0,0.0,CaseData_v2.csv,,LatestDispositonCourtID
pretrial_id,85459,234441,85459,100.0,36.45,PreTrial to Booking Info.xlsx,Booking,PA_MAST_NO
defendant_booking_id,85420,234441,0,0.0,0.0,PreTrial to Booking Info.xlsx,Booking,PA_MAST_NO
person_mni,66177,234441,0,0.0,0.0,PreTrial to Booking Info.xlsx,Booking,PA_MAST_NO
PK_BKG_NO,85416,234441,0,0.0,0.0,PreTrial to Booking Info.xlsx,Booking,PA_MAST_NO
pretrial_id,85459,233655,0,0.0,0.0,PreTrial to Booking Info.xlsx,Booking,BH_BKG_NO
defendant_booking_id,85420,233655,85420,100.0,36.56,PreTrial to Booking Info.xlsx,Booking,BH_BKG_NO
person_mni,66177,233655,4387,6.63,1.88,PreTrial to Booking Info.xlsx,Booking,BH_BKG_NO
PK_BKG_NO,85416,233655,85416,100.0,36.56,PreTrial to Booking Info.xlsx,Booking,BH_BKG_NO
pretrial_id,85459,281388,0,0.0,0.0,PreTrial to Booking Info.xlsx,Booking,BH_C_CASE
defendant_booking_id,85420,281388,64,0.07,0.02,PreTrial to Booking Info.xlsx,Booking,BH_C_CASE
person_mni,66177,281388,96,0.15,0.03,PreTrial to Booking Info.xlsx,Booking,BH_C_CASE
PK_BKG_NO,85416,281388,64,0.07,0.02,PreTrial to Booking Info.xlsx,Booking,BH_C_CASE
pretrial_id,85459,15650,7275,8.51,46.49,PreTrial Disposition Reason.xlsx,Sheet1,PA_MAST_NO
defendant_booking_id,85420,15650,0,0.0,0.0,PreTrial Disposition Reason.xlsx,Sheet1,PA_MAST_NO
person_mni,66177,15650,0,0.0,0.0,PreTrial Disposition Reason.xlsx,Sheet1,PA_MAST_NO
PK_BKG_NO,85416,15650,0,0.0,0.0,PreTrial Disposition Reason.xlsx,Sheet1,PA_MAST_NO
pretrial_id,85459,15647,0,0.0,0.0,PreTrial Disposition Reason.xlsx,Sheet1,PA_BKG_NO
defendant_booking_id,85420,15647,7278,8.52,46.51,PreTrial Disposition Reason.xlsx,Sheet1,PA_BKG_NO
person_mni,66177,15647,287,0.43,1.83,PreTrial Disposition Reason.xlsx,Sheet1,PA_BKG_NO
PK_BKG_NO,85416,15647,7278,8.52,46.51,PreTrial Disposition Reason.xlsx,Sheet1,PA_BKG_NO
pretrial_id,85459,19813,0,0.0,0.0,PreTrial Disposition Reason.xlsx,Sheet1,PL_BND_CASE
defendant_booking_id,85420,19813,0,0.0,0.0,PreTrial Disposition Reason.xlsx,Sheet1,PL_BND_CASE
person_mni,66177,19813,2,0.0,0.01,PreTrial Disposition Reason.xlsx,Sheet1,PL_BND_CASE
PK_BKG_NO,85416,19813,0,0.0,0.0,PreTrial Disposition Reason.xlsx,Sheet1,PL_BND_CASE
pretrial_id,85459,52852,0,0.0,0.0,Events.xlsx,Events,EventID
defendant_booking_id,85420,52852,0,0.0,0.0,Events.xlsx,Events,EventID
person_mni,66177,52852,0,0.0,0.0,Events.xlsx,Events,EventID
PK_BKG_NO,85416,52852,0,0.0,0.0,Events.xlsx,Events,EventID
pretrial_id,85459,41234,0,0.0,0.0,Events.xlsx,Events,CaseID
defendant_booking_id,85420,41234,6311,7.39,15.31,Events.xlsx,Events,CaseID
