value,count,column
2.0,152,OriginalDispositionVerdictID
5.0,99,OriginalDispositionVerdictID
3.0,42,OriginalDispositionVerdictID
6.0,7,OriginalDispositionVerdictID
,240653,OriginalDispositionVerdictDate
12/18/2015,57,OriginalDispositionVerdictDate
9/10/2010,49,OriginalDispositionVerdictDate
10/16/2015,49,OriginalDispositionVerdictDate
10/10/2014,45,OriginalDispositionVerdictDate
10/14/2011,45,OriginalDispositionVerdictDate
12/16/2013,44,OriginalDispositionVerdictDate
2/23/2012,44,OriginalDispositionVerdictDate
12/11/2015,44,OriginalDispositionVerdictDate
8/5/2011,42,OriginalDispositionVerdictDate
10/24/2013,42,OriginalDispositionVerdictDate
7/11/2014,41,OriginalDispositionVerdictDate
12/18/2013,40,OriginalDispositionVerdictDate
2/10/2012,40,OriginalDispositionVerdictDate
11/20/2012,40,OriginalDispositionVerdictDate
3/6/2012,39,OriginalDispositionVerdictDate
4/7/2011,39,OriginalDispositionVerdictDate
1/13/2012,39,OriginalDispositionVerdictDate
6/18/2014,39,OriginalDispositionVerdictDate
11/22/2013,39,OriginalDispositionVerdictDate
12/17/2014,39,OriginalDispositionVerdictDate
12/17/2015,39,OriginalDispositionVerdictDate
8/21/2014,38,OriginalDispositionVerdictDate
3/24/2011,38,OriginalDispositionVerdictDate
9/7/2011,38,OriginalDispositionVerdictDate
2.0,169601,OriginalDispositionMethodID
5.0,37756,OriginalDispositionMethodID
1.0,32143,OriginalDispositionMethodID
,31061,OriginalDispositionMethodID
3.0,1138,OriginalDispositionMethodID
171.0,66982,OriginalDispositionID
147.0,44933,OriginalDispositionID
,31856,OriginalDispositionID
95.0,16856,OriginalDispositionID
87.0,14450,OriginalDispositionID
143.0,10985,OriginalDispositionID
101.0,8314,OriginalDispositionID
152.0,8305,OriginalDispositionID
84.0,8119,OriginalDispositionID
20.0,7152,OriginalDispositionID
37.0,6951,OriginalDispositionID
141.0,6614,OriginalDispositionID
83.0,6052,OriginalDispositionID
16.0,6004,OriginalDispositionID
72.0,4962,OriginalDispositionID
26.0,4692,OriginalDispositionID
1.0,3299,OriginalDispositionID
32.0,2274,OriginalDispositionID
98.0,1817,OriginalDispositionID
65.0,1778,OriginalDispositionID
31.0,1263,OriginalDispositionID
150.0,1085,OriginalDispositionID
85.0,982,OriginalDispositionID
27.0,810,OriginalDispositionID
24.0,772,OriginalDispositionID
,31856,OriginalDispositionDate
11/14/2014,349,OriginalDispositionDate
12/18/2015,306,OriginalDispositionDate
3/23/2012,302,OriginalDispositionDate
9/10/2010,281,OriginalDispositionDate
10/24/2013,280,OriginalDispositionDate
10/16/2015,271,OriginalDispositionDate
9/9/2011,266,OriginalDispositionDate
1/17/2014,266,OriginalDispositionDate
12/20/2013,263,OriginalDispositionDate
1/23/2015,260,OriginalDispositionDate
12/20/2012,259,OriginalDispositionDate
11/22/2011,254,OriginalDispositionDate
3/25/2011,254,OriginalDispositionDate
11/15/2013,254,OriginalDispositionDate
11/20/2012,254,OriginalDispositionDate
2/28/2014,252,OriginalDispositionDate
2/19/2016,250,OriginalDispositionDate
6/15/2012,249,OriginalDispositionDate
1/6/2012,248,OriginalDispositionDate
1/25/2013,247,OriginalDispositionDate
6/26/2015,247,OriginalDispositionDate
3/3/2016,246,OriginalDispositionDate
3/24/2011,242,OriginalDispositionDate
8/5/2011,242,OriginalDispositionDate
9038.0,66983,OriginalDispositionEvent
9030.0,44943,OriginalDispositionEvent
,31856,OriginalDispositionEvent
9020.0,16856,OriginalDispositionEvent
8044.0,14450,OriginalDispositionEvent
9026.0,10985,OriginalDispositionEvent
9002.0,8314,OriginalDispositionEvent
9033.0,8305,OriginalDispositionEvent
8046.0,8119,OriginalDispositionEvent
8010.0,7152,OriginalDispositionEvent
8020.0,6951,OriginalDispositionEvent
9011.0,6614,OriginalDispositionEvent
8045.0,6052,OriginalDispositionEvent
8053.0,6004,OriginalDispositionEvent
8034.0,4962,OriginalDispositionEvent
8015.0,4692,OriginalDispositionEvent
8000.0,3299,OriginalDispositionEvent
8021.0,2274,OriginalDispositionEvent
9003.0,1817,OriginalDispositionEvent
8027.0,1778,OriginalDispositionEvent
8019.0,1263,OriginalDispositionEvent
9078.0,1085,OriginalDispositionEvent
8023.0,982,OriginalDispositionEvent
8072.0,810,OriginalDispositionEvent
8013.0,772,OriginalDispositionEvent
20.0,169072,OriginalSentenceID
,69654,OriginalSentenceID
19.0,14389,OriginalSentenceID
16.0,8096,OriginalSentenceID
14.0,6036,OriginalSentenceID
4.0,2558,OriginalSentenceID
7.0,1689,OriginalSentenceID
9.0,60,OriginalSentenceID
5.0,38,OriginalSentenceID
12.0,34,OriginalSentenceID
15.0,33,OriginalSentenceID
3.0,27,OriginalSentenceID
11.0,8,OriginalSentenceID
18.0,3,OriginalSentenceID
1.0,1,OriginalSentenceID
13.0,1,OriginalSentenceID
,253629,LatestDispositionMethodID
4.0,18070,LatestDispositionMethodID
,258999,LatestDispositionID
102.0,1735,LatestDispositionID
113.0,1670,LatestDispositionID
12.0,1343,LatestDispositionID
137.0,1174,LatestDispositionID
114.0,916,LatestDispositionID
13.0,879,LatestDispositionID
6.0,847,LatestDispositionID
76.0,796,LatestDispositionID
75.0,558,LatestDispositionID
4.0,553,LatestDispositionID
5.0,462,LatestDispositionID
74.0,417,LatestDispositionID
147.0,161,LatestDispositionID
155.0,156,LatestDispositionID
171.0,123,LatestDispositionID
24.0,112,LatestDispositionID
37.0,95,LatestDispositionID
72.0,95,LatestDispositionID
150.0,89,LatestDispositionID
26.0,50,LatestDispositionID
84.0,48,LatestDispositionID
27.0,45,LatestDispositionID
159.0,42,LatestDispositionID
152.0,34,LatestDispositionID
,258999,LatestDispositionDate
2/5/2016,30,LatestDispositionDate
2/25/2016,28,LatestDispositionDate
8/28/2015,27,LatestDispositionDate
1/22/2016,27,LatestDispositionDate
12/19/2013,26,LatestDispositionDate
1/5/2016,25,LatestDispositionDate
5/22/2015,25,LatestDispositionDate
4/21/2016,24,LatestDispositionDate
1/20/2016,24,LatestDispositionDate
3/27/2015,23,LatestDispositionDate
12/4/2015,23,LatestDispositionDate
7/1/2014,23,LatestDispositionDate
12/11/2015,23,LatestDispositionDate
3/21/2014,22,LatestDispositionDate
2/28/2014,22,LatestDispositionDate
9/4/2013,22,LatestDispositionDate
7/10/2014,22,LatestDispositionDate
9/6/2012,22,LatestDispositionDate
2/29/2016,22,LatestDispositionDate
12/17/2013,22,LatestDispositionDate
2/26/2016,22,LatestDispositionDate
7/1/2015,22,LatestDispositionDate
2/20/2013,21,LatestDispositionDate
10/10/2014,21,LatestDispositionDate
,260355,LatestSentenceID
20.0,6108,LatestSentenceID
16.0,1679,LatestSentenceID
19.0,1041,LatestSentenceID
14.0,964,LatestSentenceID
4.0,813,LatestSentenceID
7.0,640,LatestSentenceID
9.0,57,LatestSentenceID
3.0,21,LatestSentenceID
18.0,11,LatestSentenceID
2.0,3,LatestSentenceID
15.0,2,LatestSentenceID
5.0,2,LatestSentenceID
11.0,2,LatestSentenceID
8.0,1,LatestSentenceID
171.0,66206,DispositionID
147.0,44894,DispositionID
,32173,DispositionID
95.0,16793,DispositionID
73.0,14135,DispositionID
143.0,10963,DispositionID
84.0,10177,DispositionID
152.0,8299,DispositionID
87.0,7891,DispositionID
101.0,7743,DispositionID
37.0,6936,DispositionID
141.0,6603,DispositionID
20.0,6029,DispositionID
83.0,4877,DispositionID
26.0,4695,DispositionID
72.0,3682,DispositionID
1.0,3291,DispositionID
32.0,2270,DispositionID
98.0,1790,DispositionID
65.0,1770,DispositionID
189.0,1486,DispositionID
31.0,1259,DispositionID
150.0,1098,DispositionID
85.0,921,DispositionID
27.0,819,DispositionID
,30326,DispositionDate
11/14/2014,354,DispositionDate
12/18/2015,307,DispositionDate
3/23/2012,305,DispositionDate
10/24/2013,281,DispositionDate
9/10/2010,281,DispositionDate
10/16/2015,273,DispositionDate
1/17/2014,269,DispositionDate
1/9/2015,268,DispositionDate
9/9/2011,266,DispositionDate
12/20/2013,265,DispositionDate
1/23/2015,264,DispositionDate
12/20/2012,259,DispositionDate
2/28/2014,257,DispositionDate
2/19/2016,257,DispositionDate
11/20/2012,257,DispositionDate
11/15/2013,255,DispositionDate
11/22/2011,254,DispositionDate
3/25/2011,254,DispositionDate
6/26/2015,251,DispositionDate
1/6/2012,248,DispositionDate
6/15/2012,247,DispositionDate
3/3/2016,247,DispositionDate
1/25/2013,245,DispositionDate
11/20/2015,244,DispositionDate
4842.0,66988,DispositionEventID
4834.0,44957,DispositionEventID
,30326,DispositionEventID
4824.0,16806,DispositionEventID
941.0,15105,DispositionEventID
4830.0,10972,DispositionEventID
943.0,10910,DispositionEventID
907.0,8685,DispositionEventID
4806.0,8318,DispositionEventID
4837.0,8312,DispositionEventID
917.0,6950,DispositionEventID
4815.0,6620,DispositionEventID
942.0,6424,DispositionEventID
931.0,5523,DispositionEventID
912.0,4702,DispositionEventID
897.0,3293,DispositionEventID
918.0,2269,DispositionEventID
4807.0,1819,DispositionEventID
924.0,1772,DispositionEventID
4832.0,1596,DispositionEventID
916.0,1264,DispositionEventID
4882.0,1096,DispositionEventID
957.0,824,DispositionEventID
910.0,785,DispositionEventID
920.0,726,DispositionEventID
1.0,115686,DispositionTypeID
4.0,65382,DispositionTypeID
7.0,32090,DispositionTypeID
,30326,DispositionTypeID
2.0,17030,DispositionTypeID
8.0,10867,DispositionTypeID
3.0,318,DispositionTypeID
2.0,168608,DispositionMethodID
1.0,36596,DispositionMethodID
5.0,34724,DispositionMethodID
,30326,DispositionMethodID
3.0,1445,DispositionMethodID
,42359,CalendarDaysFilingtoDisposition
1.0,17868,CalendarDaysFilingtoDisposition
2.0,10427,CalendarDaysFilingtoDisposition
4.0,2725,CalendarDaysFilingtoDisposition
5.0,2072,CalendarDaysFilingtoDisposition
7.0,1628,CalendarDaysFilingtoDisposition
9.0,1471,CalendarDaysFilingtoDisposition
15.0,1274,CalendarDaysFilingtoDisposition
6.0,1132,CalendarDaysFilingtoDisposition
8.0,1096,CalendarDaysFilingtoDisposition
3.0,1079,CalendarDaysFilingtoDisposition
16.0,976,CalendarDaysFilingtoDisposition
29.0,907,CalendarDaysFilingtoDisposition
14.0,884,CalendarDaysFilingtoDisposition
22.0,883,CalendarDaysFilingtoDisposition
43.0,873,CalendarDaysFilingtoDisposition
36.0,852,CalendarDaysFilingtoDisposition
71.0,795,CalendarDaysFilingtoDisposition
85.0,766,CalendarDaysFilingtoDisposition
21.0,766,CalendarDaysFilingtoDisposition
50.0,764,CalendarDaysFilingtoDisposition
78.0,759,CalendarDaysFilingtoDisposition
30.0,757,CalendarDaysFilingtoDisposition
37.0,751,CalendarDaysFilingtoDisposition
35.0,743,CalendarDaysFilingtoDisposition
,42359,TimetoDisposition
1.0,18381,TimetoDisposition
2.0,10452,TimetoDisposition
4.0,2785,TimetoDisposition
5.0,2367,TimetoDisposition
7.0,2203,TimetoDisposition
9.0,1942,TimetoDisposition
8.0,1664,TimetoDisposition
15.0,1476,TimetoDisposition
6.0,1437,TimetoDisposition
3.0,1267,TimetoDisposition
14.0,1149,TimetoDisposition
16.0,1128,TimetoDisposition
29.0,1011,TimetoDisposition
22.0,975,TimetoDisposition
12.0,965,TimetoDisposition
11.0,956,TimetoDisposition
13.0,932,TimetoDisposition
10.0,928,TimetoDisposition
43.0,922,TimetoDisposition
36.0,903,TimetoDisposition
21.0,893,TimetoDisposition
30.0,871,TimetoDisposition
37.0,854,TimetoDisposition
50.0,840,TimetoDisposition
