dataset,column,count,mean,std,min,25%,50%,75%,max
case_data,OriginalDispositionID,239843.0,120.68606963722101,50.748715303930545,1.0,87.0,147.0,171.0,197.0
case_data,OriginalDispositionEvent,239843.0,8736.48505897608,455.5457220200079,6529.0,8046.0,9030.0,9038.0,9083.0
case_data,OriginalSentenceID,202045.0,19.2669751787968,2.4579274352656038,1.0,20.0,20.0,20.0,20.0
case_data,LatestDispositionMethodID,18070.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
case_data,LatestDispositionID,12700.0,74.12858267716535,50.9421519438655,1.0,12.0,76.0,113.0,194.0
case_data,LatestSentenceID,11344.0,16.82660437235543,4.963464601633002,2.0,16.0,20.0,20.0,20.0
case_data,EarliestKnownChargeID,271699.0,2144.6950228009673,1796.7194306918673,2.0,1058.0,1572.0,4148.0,7128.0
case_data,CriminalDefendantHistoryID,271699.0,2281783.8876587693,552609.6754098972,1066533.0,1854450.5,2371445.0,2771677.5,3093468.0
case_data,ActivationEventID,259666.0,4786.1903098595885,1288.077585006837,2641.0,2673.0,5559.0,5559.0,6236.0
case_data,ActivationTypeID,258906.0,31.022050473917176,0.2532049740929599,31.0,31.0,31.0,31.0,34.0
case_data,AssociatedBookingNumber,225396.0,1284704.7615352536,177534.89116602996,218126.0,1129081.0,1303608.0,1430443.5,1617421.0
case_data,InactivityDays,88472.0,206.85264264400035,605.6230628107685,0.0,1.0,37.0,169.0,12662.0
case_data,CalendarDaysFilingtoCurrent,30198.0,401.2494536061991,536.3238734913343,1.0,103.0,252.0,461.0,12286.0
case_data,AgeofCase,30198.0,243.15888469435063,292.8292920116886,1.0,74.0,179.0,324.75,7743.0
case_data,DispositionID,239526.0,122.35730567871546,48.59286435622972,1.0,84.0,147.0,171.0,197.0
case_data,DispositionEventID,241373.0,3693.950764998571,1774.9007880758952,897.0,943.0,4834.0,4842.0,4887.0
case_data,DispositionTypeID,241373.0,2.9986535362281614,2.3476132165790267,1.0,1.0,2.0,4.0,8.0
case_data,CalendarDaysFilingtoDisposition,229340.0,232.6551408389291,448.13424318930277,1.0,36.0,147.0,296.0,12780.0
case_data,TimetoDisposition,229340.0,173.67437865178337,256.56675160282134,1.0,26.0,122.0,251.0,12780.0
